,h_veg,r_st,LAI_min,LAI_max,Vr,alpha_veg,Vcan,k,f_red,z0,rs_soi,Ve,a,Vsoi,Vepi,Kepi,alpha_soi,Pm,Epotm,Tm,AI,ro_P_E,ETSI,PSI,Ip,Hp,H95,Dp,DS,DTR,RHm,WSm,Radm,CO2,Classes
6693066,0.42548,110.59,95.504,2.818,127.96,0.20277,0.38747,0.50686,0.013437,0.009139,2.1368,22.084,4.8205,26.478,434.38,28.004,0.36998,97.113,1682.5,21.648,17.325,-0.90773,0.5089,0.78424,6.3211,23.295,225.35,1.6341,0,14.751,15.363,5.133,46.452,610.55,C2
10316709,13.751,228.5,68.719,7.597,140.5,0.13449,0.24758,0.59818,0.034241,0.0061995,76.086,31.61,1.7326,56.187,329.19,25.506,0.30391,433.28,606.46,14.955,1.3997,-0.65239,0.74371,0.26299,3.3281,2.1842,24,2.4232,0,11.795,72.982,2.9937,41.521,610.55,C2
3732374,0.40263,59.054,64.301,3.2269,155.46,0.20841,0.37099,0.57296,0.14181,0.0088698,23.415,22.188,5.6826,83.018,403.43,22.808,0.38535,518.31,1521.8,28.036,2.9361,0.21228,0.33157,1.1486,10.82,6.8264,124.6,3.2333,0,13.316,25.304,2.8756,52.426,531.92,C3
14365847,14.893,199.71,57.336,5.8531,325.92,0.12718,0.30467,0.42176,0.0096647,0.01095,63.066,28.077,2.2554,173.14,320.75,16.614,0.36141,396.97,873.26,15.125,2.1998,-0.78455,0.57162,0.50061,6.7253,5.2977,64,2.0714,1,12.666,33.24,2.6024,42.635,352.14,C2
11470739,26.361,220.94,67.014,5.22,362.6,0.12615,0.23491,0.50099,0.050875,0.0036874,75.613,35.239,1.6849,526.8,688.68,12.875,0.32863,729.28,478.59,8.7682,0.65625,0.53938,0.82225,0.15103,4.4578,1.3214,16,2.3833,79.833,8.9991,69.034,3.1899,36.408,531.92,C2
14934494,16.979,426.85,99.922,7.9909,226.45,0.11865,0.33937,0.68098,0.13353,0.0035027,12.89,10.807,3.3588,608.76,490.51,1.2742,0.3953,677.98,524.17,14.659,0.77314,0.58887,0.80071,0.22444,6.2995,2.4359,29,2.5039,45.467,11.162,66.34,2.0376,39.931,429.36,C3
6553511,1.3196,43.571,34.99,2.3789,40.052,0.18029,0.20969,0.60344,0.088731,0.011017,61.163,35.105,0.33336,31.078,667.98,44.625,0.36435,35.393,1276.1,24.748,36.055,-0.54306,0.47905,0.75638,4.9769,61.611,337,1.4228,0,13.934,21.689,4.0424,46.643,531.92,C1
11637048,19.541,282.3,54.591,7.0404,246.55,0.12437,0.30305,0.69719,0.1225,0.00056609,61.81,26.479,1.6522,230.74,207.57,37.57,0.33548,227.03,986.46,17.639,4.3451,-0.55822,0.47061,1.019,17.488,27.46,281.55,2.0479,3.4,18.155,6.5638,1.5556,45.664,531.92,C2
12618204,32.394,338.82,82.509,9.3965,360.42,0.11388,0.39479,0.55573,0.020601,0.0041353,38.528,20.015,2.3857,546.62,487.94,38.571,0.32367,1572.5,494.35,10.505,0.31436,-0.73339,0.75623,0.21913,6.7404,0.59097,17.9,4.4685,0,7.3848,87.001,12.323,38.124,429.36,C4
4588631,0.85142,142.29,58.269,3.0991,80.015,0.24107,0.30389,0.66111,0.1208,0.0093758,65.267,14.736,5.0623,16.016,249.01,46.837,0.35931,67.59,1218.9,28.884,18.034,-0.5706,0.40598,0.88474,5.7284,37.446,235.8,1.6474,0,15.127,13.569,2.3542,50.845,531.92,C2
