"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
28.89,48.582,3.9797,5.4314,76.019,0.44155,0.12593,2.0609,2.1664,0.35264,0.18739,0.49145,2.1874,0.44254,0.11844,1.71,1.4873,11.386,25.582,3.67E-05,16.592,23.809,42.878,1.80E-06,18.933,-1.4457,0.17383,33,Stable
28.844,48.876,2.2973,3.931,72.053,0.49996,0.17704,0.4013,1.8097,0.49268,0.16382,11.097,2.062,0.34359,0.11973,3.4249,1.9819,11.023,26.873,1.96E-05,16.523,25.33,33.9,8.53E-07,19.005,-1.4713,0.047814,49,Stable
28.087,48.484,3.4642,4.8101,80.695,0.339,0.19765,23.848,1.0664,0.46465,0.11999,2.2385,1.7197,0.40824,0.12698,19.879,2.1903,6.9566,25.979,9.42E-06,16.555,24.779,34.494,4.13E-06,18.358,-1.4331,0.16925,21,Stable
28.469,48.981,2.7378,2.2696,85.432,0.49196,0.17646,2.2549,2.0983,0.45666,0.20273,13.469,2.3264,0.27027,0.154,8.1758,1.2102,10.09,26.617,3.50E-05,16.459,24.916,29.357,2.06E-06,18.747,-0.82996,0.0089196,2,Stable
27.578,48.903,4.0762,2.7211,94.667,0.33712,0.22862,1.5917,1.6407,0.40745,0.15441,17.654,1.1362,0.4582,0.18882,4.8973,1.1221,6.6322,24.596,2.06E-05,17.321,22.175,35.26,1.04E-06,18.027,-1.1718,0.16006,0,Stable
27.369,48.628,5.2612,3.9532,64.36,0.34936,0.093827,7.8758,1.0052,0.50168,0.091568,7.4655,2.3878,0.43093,0.14242,2.174,1.2717,9.3042,23.048,1.62E-05,17.86,26.858,31.161,2.54E-06,18.153,-1.4617,0.15463,46,Failure
27.616,48.369,3.9136,5.4258,72.219,0.36128,0.06695,6.9375,1.3712,0.43314,0.19463,0.81772,1.4105,0.33199,0.16375,4.3057,1.5129,7.5885,25.751,1.42E-05,16.787,25.438,25.99,2.48E-06,19.557,-1.176,0.0051248,47,Stable
27.44,48.928,3.4115,5.8765,94.963,0.40927,0.18541,1.3032,1.0236,0.3756,0.1325,8.2804,1.4952,0.46334,0.2493,2.5589,1.4332,10.032,24.365,2.06E-05,16.959,26.254,37.422,1.62E-06,19.968,-1.2214,0.16726,4,Stable
27.567,48.899,5.1651,5.7023,92.987,0.48908,0.19991,8.6709,1.892,0.42575,0.14454,3.6481,1.3703,0.35371,0.24598,1.2598,1.339,9.7457,24.767,1.31E-05,17.41,22.751,34.621,8.79E-07,18.67,-0.51849,0.052415,30,Failure
27.128,48.052,2.4057,5.16,69.073,0.48667,0.089191,14.127,1.064,0.45559,0.18544,10.502,1.0809,0.47025,0.13673,1.2973,2.352,12.683,24.489,1.41E-05,17.779,24.309,43.116,1.71E-06,19.636,-1.3226,0.15945,29,Stable
