"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
27.513,48.606,2.0453,5.0524,80.607,0.28432,0.14992,5.5609,1.9414,0.35807,0.062151,6.2694,1.1153,0.41358,0.1668,0.46183,1.385,11.351,24.412,1.97E-05,16.749,22.82,34.135,2.07E-06,18.46,-0.52868,0.026707,29,Stable
28.681,48.666,2.8987,2.5247,61.043,0.51556,0.17745,0.48762,2.8966,0.25237,0.11462,6.7297,1.3077,0.54071,0.1656,1.7034,2.6007,8.8136,26.762,9.76E-06,17.702,23.258,38.62,2.67E-06,19.611,-0.52069,0.045884,18,Stable
27.606,48.836,5.9405,5.738,81.932,0.33887,0.11467,2.338,1.1777,0.37223,0.081171,1.7177,1.9109,0.42318,0.095117,2.2907,3.0604,6.1196,24.619,1.38E-05,16.621,25.979,30.237,1.89E-06,19.09,-1.2051,0.10585,42,Failure
28.477,48.084,3.4318,4.0104,80.726,0.43654,0.10993,0.99728,2.4741,0.41797,0.13663,1.5916,1.853,0.52696,0.10466,2.1094,2.4037,4.9301,25.702,1.37E-05,17.175,26.276,35.034,1.41E-06,18.762,-1.0514,0.19044,13,Failure
29.287,48.753,5.2722,2.7011,63.435,0.45507,0.13615,17.553,1.2452,0.4115,0.099207,6.4229,1.351,0.46848,0.12984,2.9564,2.1625,4.8267,22.904,1.40E-05,16.671,22.382,30.47,2.00E-06,19.831,-1.4083,0.076931,51,Failure
27.24,48.131,2.6008,4.8393,87.402,0.47185,0.14386,1.6743,1.0054,0.38419,0.13071,4.1208,1.1413,0.33429,0.1306,7.861,1.7003,7.5363,24.994,2.04E-05,16.535,24.241,37.481,1.14E-06,18.174,-0.84665,0.062245,28,Stable
29.815,48.721,5.5674,5.6769,78.114,0.43082,0.061974,15.002,2.4702,0.47194,0.16142,0.60781,2.3987,0.28122,0.13208,6.8101,1.4989,9.3045,23.956,1.63E-05,17.968,23.281,35.163,9.30E-07,18.492,-1.2559,0.021994,18,Stable
29.923,48.025,4.0395,2.2024,64.835,0.48166,0.076605,0.77752,1.4119,0.37918,0.10102,3.4071,1.0174,0.39577,0.31623,21.28,1.3066,5.9273,24.41,3.00E-05,16.864,25.105,31.34,1.12E-06,19.567,-0.95109,0.058375,52,Failure
29.872,48.858,3.9104,5.2486,88.44,0.53953,0.17712,21.238,1.5438,0.37581,0.077246,6.9808,1.0269,0.57515,0.22813,1.8799,2.0726,10.32,23.641,2.88E-05,16.514,29.69,25.899,1.22E-06,18.401,-1.2389,0.16547,64,Failure
27.992,48.821,3.8588,2.8907,90.359,0.42014,0.23292,0.48004,1.3731,0.46995,0.16501,11.732,1.9509,0.40969,0.098983,0.36319,1.228,6.4094,22.093,1.52E-05,17.301,23.988,32.422,1.86E-06,19.328,-0.61157,0.013225,54,Failure
29.704,48.334,5.7767,4.728,70.027,0.35995,0.084326,1.2583,2.1046,0.41295,0.097905,1.0262,1.1143,0.55719,0.20578,2.0793,1.1091,13.893,23.686,1.09E-05,16.472,23.949,35.402,1.08E-06,18.167,-1.1567,0.18185,25,Failure
28.45,48.391,4.851,2.8354,76.888,0.438,0.16562,1.2212,1.1541,0.33383,0.21256,28.125,1.6751,0.40503,0.10402,0.85069,2.3966,12.682,24.494,1.06E-05,17.847,24.054,35.1,1.34E-06,18.131,-0.7855,0.098222,1,Stable
27.442,48.442,4.1854,2.5443,90.398,0.36582,0.21432,5.7351,1.415,0.37093,0.1176,16.412,1.4199,0.36625,0.11579,4.6277,1.6828,7.1443,28.72,2.56E-05,17.23,29.318,33.062,1.48E-06,19.727,-1.094,0.16217,26,Failure
27.945,48.601,2.991,4.9811,71.009,0.45672,0.11222,4.1304,2.4261,0.46714,0.071768,2.9546,1.6871,0.47212,0.22599,11.306,1.5895,9.6935,25.475,1.07E-05,17.66,26.084,32.931,1.49E-06,18.283,-0.9994,0.13762,68,Stable
28.047,48.206,5.9443,3.7212,69.789,0.2487,0.23977,3.9821,1.3592,0.35054,0.14166,0.85487,1.058,0.3599,0.19838,1.313,1.6977,11.266,25.942,1.62E-05,16.876,26.635,33.538,1.66E-06,19.901,-0.99206,0.17406,5,Stable
27.161,48.403,4.8886,5.1463,76.68,0.40701,0.16258,4.8942,1.4903,0.47708,0.139,2.7698,1.1908,0.39161,0.26385,1.4241,1.9382,9.4258,24.528,1.20E-05,16.552,25.678,37.18,1.57E-06,19.143,-0.75717,0.11524,35,Failure
27.142,48.361,3.2285,5.6473,74.251,0.47101,0.094376,1.3036,2.0253,0.28329,0.19805,1.8142,1.2319,0.45061,0.17764,1.8507,1.2727,10.53,25.206,1.49E-05,16.651,23.09,34.006,1.42E-06,18.935,-0.66534,0.19533,63,Stable
27.215,48.545,4.5657,4.1709,84.911,0.42233,0.16853,7.6801,1.3236,0.2998,0.19372,1.6919,1.5114,0.38314,0.14628,7.7665,1.423,6.9667,21.909,1.52E-05,17.775,26.435,36.915,1.79E-06,18.254,-1.4606,0.024622,36,Failure
27.047,48.71,5.3235,5.7045,87.924,0.41979,0.12419,0.9136,1.2874,0.49566,0.11749,6.6335,2.0407,0.49784,0.18141,3.2733,1.1693,9.2355,25.743,2.30E-05,17.765,23.645,34.328,1.76E-06,18.432,-1.0257,0.008379,56,Failure
29.921,48.525,5.4134,3.6104,90.031,0.46617,0.17719,7.3271,1.2861,0.35025,0.14597,14.148,2.0073,0.30246,0.091753,9.5618,2.0046,5.5555,24.578,1.68E-05,16.478,23.335,37.226,1.91E-06,18.853,-0.99859,0.034932,44,Failure
27.1,48.683,2.2705,3.2668,79.191,0.35592,0.1048,0.82864,1.946,0.33555,0.089169,1.1971,1.4209,0.38077,0.32661,1.518,2.0008,10.324,25.326,1.19E-05,16.857,24.877,37.034,2.44E-06,19.72,-1.1891,0.0033879,0,Stable
27.353,48.334,2.6607,3.9098,92.945,0.53702,0.21248,1.8839,1.2926,0.43019,0.14619,2.9551,1.5551,0.32838,0.13493,1.0898,1.1165,10.952,22.046,1.02E-05,16.934,22.828,36.605,1.96E-06,19.394,-0.64281,0.15278,28,Stable
29.982,48.599,2.4187,5.1831,92.684,0.45393,0.086758,3.1335,1.9689,0.41221,0.1702,17.987,1.6003,0.51125,0.19908,5.4381,1.1761,4.4567,24.983,3.35E-05,17.221,25.028,36.481,2.31E-06,18.852,-1.4627,0.182,7,Stable
28.04,48.171,5.8138,4.8599,88.757,0.48122,0.12288,10.726,2.0446,0.49179,0.26615,2.7693,1.9853,0.56184,0.14889,3.9924,1.6472,7.559,24.325,1.80E-05,16.817,28.146,35.903,2.59E-06,18.291,-1.4462,0.15872,3,Stable
27.877,48.843,2.1066,2.7825,64.776,0.38528,0.10065,1.7989,1.5171,0.33502,0.1554,1.1826,1.0311,0.44535,0.12726,2.6096,1.1375,15.205,25.99,1.66E-05,16.454,26.655,41.727,1.89E-06,18.252,-0.74548,0.0043939,22,Stable
27.562,48.49,4.77,4.7881,74.8,0.53302,0.10853,10.893,1.5061,0.40047,0.22125,0.6687,1.3958,0.4067,0.15202,13.285,1.6014,9.4493,23.796,1.35E-05,16.086,23.762,34.741,1.64E-06,19.867,-1.1202,0.17729,5,Stable
29.229,48.26,3.0526,2.6596,89.872,0.32913,0.11363,2.9058,1.847,0.48099,0.14613,1.7923,1.1857,0.38155,0.15405,4.4722,1.9532,15.417,24.305,2.04E-05,16.854,25.511,32.238,1.83E-06,18.158,-1.0876,0.041258,7,Stable
29.154,48.204,2.8212,5.9979,85.015,0.48457,0.068719,6.3434,2.3109,0.3539,0.1426,0.43757,2.0723,0.55099,0.23972,1.6861,1.9927,8.2107,27.402,2.15E-05,17.099,25.212,33.705,1.59E-06,19.029,-1.1664,0.19683,51,Stable
28.966,48.129,4.0263,3.3332,88.244,0.43998,0.10255,5.1263,1.1319,0.43074,0.2128,9.4949,1.5069,0.30724,0.13422,4.3306,1.5875,10.232,23.218,1.38E-05,16.243,27.529,32.357,1.51E-06,19.625,-0.6463,0.043809,38,Stable
29.343,48.333,4.3248,3.1252,94.614,0.45633,0.067266,13.484,1.7509,0.35809,0.062519,1.4744,1.2017,0.27915,0.13215,9.9613,1.605,5.4001,24.54,9.62E-06,17.521,23.607,35.521,2.07E-06,19.134,-1.0395,0.084984,70,Failure
29.589,48.339,2.1168,4.55,88.688,0.3552,0.12142,7.8786,2.6967,0.41954,0.094982,3.9189,1.4441,0.25376,0.11359,7.966,2.3091,5.361,24.821,1.98E-05,16.183,21.97,29.478,2.04E-06,18.379,-1.4017,0.18771,2,Stable
29.356,48.226,2.247,3.9372,92.398,0.3295,0.20281,4.6328,2.2415,0.36637,0.27529,14.467,1.6597,0.4364,0.12329,65.157,2.4793,9.5517,22.246,1.57E-05,16.662,25.412,38.688,2.01E-06,18.313,-1.2432,0.097177,57,Stable
28.043,48.228,4.4172,2.9613,81.443,0.33855,0.22751,9.5992,2.2631,0.4378,0.072006,1.2672,1.4318,0.41878,0.13678,2.664,2.1899,7.3853,26.738,1.07E-05,16.716,26.45,32.112,1.53E-06,18.972,-1.3887,0.14879,38,Stable
27.166,48.272,5.3222,3.462,65.94,0.37349,0.21116,5.2703,1.5568,0.35436,0.074527,4.8951,1.2971,0.3739,0.16583,8.099,1.6011,8.9409,23.918,1.10E-05,16.621,20.679,34.66,3.27E-06,19.293,-1.3506,0.1703,6,Stable
29.458,48.348,3.4553,2.6559,62.811,0.33662,0.16545,3.7972,1.4153,0.41861,0.13819,3.9602,2.0211,0.68589,0.070221,9.4608,1.7148,8.3431,24.873,9.44E-06,16.879,25.42,35.985,1.06E-06,18.024,-0.55075,0.10441,31,Stable
27.318,48.367,5.031,5.8193,80.588,0.40933,0.21165,2.435,1.4694,0.48404,0.10315,4.4375,1.261,0.36549,0.14912,6.637,2.2968,6.6137,21.853,2.04E-05,17.217,25.009,42.879,1.27E-06,18.087,-0.66106,0.10661,14,Failure
28.157,48.375,5.0753,2.7412,68.613,0.40588,0.078767,0.24105,1.8218,0.28599,0.096476,0.60578,1.2515,0.31768,0.13712,15.887,1.4826,11.926,24.761,1.21E-05,17.224,25.828,35.202,1.28E-06,19.899,-0.66195,0.0043531,15,Stable
29.571,48.534,5.1647,3.7725,87.6,0.50291,0.11488,0.59867,1.1223,0.32553,0.16293,10.75,1.3961,0.28737,0.13666,8.7848,1.2516,11.665,22.946,1.64E-05,16.936,26.291,36.553,2.21E-06,19.724,-0.89341,0.011256,6,Stable
29.024,48.762,4.4711,4.0298,85.959,0.40153,0.25621,3.0257,1.9258,0.43309,0.16069,16.679,1.7846,0.41094,0.16964,1.0634,1.7366,1.9724,23.475,2.12E-05,17.123,24.184,37.384,2.05E-06,19.988,-0.79413,0.061446,26,Failure
28.824,48.571,4.7704,2.9604,92.977,0.40492,0.23786,5.8826,1.6704,0.58757,0.11214,2.8248,1.2902,0.40367,0.26933,0.96387,1.4456,14.499,24.784,1.30E-05,16.966,24.701,38.09,2.37E-06,19.287,-1.2365,0.062477,67,Stable
29.884,48.197,2.285,5.7721,66.811,0.35583,0.13552,2.8491,1.9992,0.47391,0.14791,1.5272,1.3467,0.41824,0.14627,3.1121,2.3299,7.524,22.046,2.94E-05,16.833,26.511,38.627,1.25E-06,19.123,-0.62275,0.19197,50,Stable
27.031,48.491,5.3117,4.628,77.034,0.49276,0.12396,3.0965,1.3622,0.56865,0.20178,1.3718,2.3763,0.45849,0.18508,0.9855,1.1408,3.4388,24.539,1.43E-05,17.917,23.579,33.086,2.06E-06,18.595,-1.4397,0.16332,45,Failure
27.425,48.117,3.7655,3.2646,66.94,0.36847,0.05752,3.7534,1.9055,0.41575,0.26978,4.4275,1.9174,0.43719,0.10489,1.8862,1.6972,11.893,24.026,9.95E-06,16.923,23.033,32.226,1.19E-06,18.484,-0.53602,0.14384,7,Stable
28.742,48.369,2.3535,2.0599,78.209,0.46488,0.10447,10.099,1.676,0.41739,0.21235,11.109,1.4707,0.30368,0.16221,1.0191,1.677,6.0388,23.306,1.47E-05,16.023,23.033,36.731,2.11E-06,18.641,-0.90177,0.13644,39,Stable
28.317,48.305,3.8522,2.9284,85.041,0.49787,0.27347,5.2645,1.7708,0.25049,0.11001,5.5394,1.0344,0.49934,0.080207,0.7354,2.2381,9.2315,23.458,3.00E-05,17.819,27.524,32.109,1.44E-06,18.435,-1.1963,0.14613,68,Stable
27.412,48.292,2.9212,2.5715,67.806,0.48968,0.33078,0.88683,1.5584,0.50076,0.12853,8.8506,1.3855,0.55627,0.13598,9.0579,1.2391,6.3302,25.031,2.78E-05,17.646,26.964,30.987,1.66E-06,19.485,-0.65412,0.099295,70,Stable
28.08,48.643,4.5236,3.1483,76.168,0.41307,0.21528,10.834,1.885,0.4327,0.074575,18.874,1.575,0.43757,0.20898,10.978,1.7528,6.3471,24.842,3.20E-05,17.429,25.68,33.354,1.54E-06,18.965,-0.6948,0.18342,28,Failure
29.511,48.751,4.9064,2.2129,77.721,0.41956,0.069733,2.5206,1.7771,0.32976,0.12035,17.408,1.0591,0.46361,0.14449,2.983,1.5942,5.2631,24.219,2.22E-05,17.721,24.296,34.303,1.03E-06,18.726,-0.69178,0.017541,40,Failure
27.124,48.819,2.8766,5.0711,72.755,0.48301,0.19142,20.549,1.0753,0.42379,0.26278,5.7688,1.6266,0.34119,0.14742,2.7449,1.3057,6.8572,26.302,9.27E-06,17.752,26.417,34.515,2.29E-06,19.788,-1.3057,0.054881,61,Stable
28.271,48.81,3.3665,4.7518,83.52,0.47265,0.17233,1.0443,1.0231,0.39732,0.11369,1.5256,1.622,0.30407,0.23802,4.1138,1.8217,11.391,28.756,1.42E-05,17.973,24.564,40.556,1.46E-06,19.694,-1.3096,0.099293,49,Stable
29.564,48.872,3.0156,4.4572,65.999,0.55102,0.23363,2.8609,1.2422,0.40807,0.12785,3.015,2.836,0.39125,0.063344,2.5527,1.8502,7.9843,26.099,2.55E-05,17.063,23.967,39.726,1.76E-06,18.998,-0.70211,0.18151,23,Stable
28.608,48.317,5.0816,5.444,74.757,0.35329,0.16821,4.2569,2.2322,0.48836,0.085502,1.9002,1.4903,0.42094,0.10432,1.3047,1.1691,2.476,25.644,1.70E-05,17.326,24.518,36.05,1.56E-06,18.567,-0.58616,0.074985,13,Failure
27.885,48.761,3.2751,2.1027,91.746,0.41839,0.13984,4.0405,2.1061,0.42872,0.15141,11.68,1.5236,0.57134,0.087175,3.9055,1.521,12.213,24.787,2.84E-05,16.655,26.141,27.312,1.16E-06,18.983,-0.99688,0.045537,39,Stable
29.709,48.649,3.9892,3.0719,66.823,0.4649,0.16563,8.5824,2.0615,0.33854,0.12652,3.1964,1.2379,0.38159,0.22497,2.857,2.2326,2.8837,25.133,4.06E-05,17.847,22.164,35.04,1.53E-06,19.427,-1.0528,0.14323,15,Failure
27.244,48.823,5.1414,4.9034,85.799,0.36385,0.10015,4.4297,1.3304,0.37652,0.13747,2.7555,1.4425,0.47533,0.12915,3.4714,2.2294,11.234,24.617,9.36E-06,16.475,25.311,33.001,3.01E-06,19.245,-0.70134,0.088206,58,Stable
29.362,48.852,2.6025,2.4224,88.757,0.50787,0.11737,1.347,1.8267,0.43462,0.11128,0.81254,1.458,0.3978,0.29024,4.0299,1.4598,7.3121,22.758,1.57E-05,17.019,25.696,34.654,1.83E-06,18.481,-1.1562,0.15961,44,Stable
27.523,48.277,4.3554,3.2178,76.768,0.40106,0.19841,15.411,1.0808,0.46132,0.13006,3.0026,2.2168,0.49408,0.1615,15.497,1.5344,6.8343,23.399,7.73E-06,17.792,24.689,31.944,1.41E-06,19.707,-1.0184,0.055346,38,Failure
29.16,48.114,3.0575,5.0066,86.202,0.25858,0.11584,0.87437,1.2961,0.33533,0.19248,2.4098,2.6161,0.41148,0.12321,6.3473,1.2683,11.736,28.666,3.12E-05,16.422,25.205,31.106,2.10E-06,19.063,-1.1614,0.15161,23,Stable
27.696,48.609,2.3635,5.8012,82.724,0.42051,0.13349,0.58148,1.4501,0.52734,0.17637,1.5341,1.103,0.33686,0.17169,10.118,1.1354,6.2668,27.459,1.94E-05,17.806,24.489,37.697,1.60E-06,19.048,-0.72584,0.099033,69,Stable
27.621,48.156,4.0896,3.001,64.275,0.2993,0.10469,4.0799,2.0068,0.37796,0.08592,1.7534,1.0416,0.39653,0.15626,5.8132,1.3008,8.3688,24.238,2.59E-05,17.433,24.786,32.768,1.56E-06,18.806,-0.65479,0.09778,66,Failure
28.906,48.203,3.2304,2.3534,83.862,0.44138,0.069454,1.0234,1.2157,0.32531,0.19375,1.4455,2.697,0.47224,0.067455,8.3841,1.8521,4.6179,26.042,1.62E-05,17.472,27.047,37.229,1.67E-06,18.614,-1.2378,0.10562,27,Failure
27.14,48.43,3.9064,4.33,81.302,0.53485,0.10254,2.8254,1.0368,0.40799,0.19595,0.21152,1.4435,0.40246,0.21842,1.0321,1.5243,3.2312,24.826,1.23E-05,16.971,23.817,36.624,1.31E-06,19.475,-1.2474,0.14294,63,Failure
27.696,48.503,5.3798,3.5232,76.902,0.40182,0.18105,3.1774,2.0959,0.55992,0.13472,1.0848,2.3959,0.27303,0.23182,0.82887,1.3381,11.361,25.107,3.33E-05,17.029,25.803,31.559,1.22E-06,18.757,-1.0541,0.1456,45,Stable
29.625,48.2,5.5851,5.1803,94.37,0.29745,0.21182,16.985,1.3453,0.481,0.25534,66.605,1.5271,0.46026,0.20706,13.318,1.2933,4.58,24.154,1.53E-05,16.706,24.323,35.877,7.76E-07,18.956,-0.78418,0.12891,37,Failure
28.38,48.628,2.8307,5.4061,76.716,0.56015,0.19307,4.7249,4.3525,0.48572,0.1188,2.6336,3.2169,0.42586,0.32524,23.463,1.478,10.075,26.683,1.28E-05,17.276,25.631,43.344,1.24E-06,19.402,-0.82234,0.19907,3,Stable
28.395,48.818,2.9585,5.1222,79.745,0.42464,0.18833,2.5312,1.2494,0.4334,0.073678,11.342,2.4761,0.3326,0.18591,6.6078,2.2704,11.162,24.302,1.43E-05,17.923,26.171,35.914,2.32E-06,19.251,-0.68681,0.12014,51,Stable
29.616,48.177,5.6001,4.9879,70.547,0.36184,0.21525,4.2349,1.047,0.37557,0.1465,2.5429,1.5402,0.41304,0.12071,3.1616,1.1944,8.3327,26.815,1.65E-05,16.425,25.539,34.531,3.09E-06,19.782,-1.4779,0.02767,1,Stable
27.903,48.273,3.9936,4.1413,82.617,0.40538,0.16681,0.52586,1.5307,0.5128,0.12435,2.5458,1.3358,0.47478,0.15843,2.3958,2.0918,12.022,22.739,1.32E-05,16.17,23.683,34.177,1.92E-06,19.368,-1.3761,0.076627,45,Stable
29.495,48.448,5.7497,2.5431,87.069,0.4468,0.16982,3.2136,1.0596,0.43547,0.062871,1.1231,1.4468,0.41366,0.089528,5.1146,1.0758,8.721,22.906,1.73E-05,16.362,24.534,34.394,1.81E-06,18.994,-0.97349,0.19667,35,Failure
28.313,48.897,2.035,5.437,72.953,0.4331,0.14234,3.5685,2.1755,0.52865,0.14448,9.1505,1.3389,0.26773,0.2189,0.25299,1.92,4.7712,23.952,2.41E-05,17.657,28.26,36.019,1.28E-06,19.56,-0.86101,0.129,66,Stable
28.521,48.284,4.6827,4.2672,78.013,0.47351,0.086595,3.1629,2.0485,0.30699,0.29229,12.719,1.4109,0.42708,0.14812,8.7505,2.4602,7.2115,25.817,1.11E-05,16.204,26.728,34.77,1.49E-06,18.425,-1.3777,0.10709,71,Failure
27.556,48.558,4.5478,2.3307,78.736,0.44204,0.162,8.6027,1.2806,0.41201,0.23564,1.5595,1.2207,0.36386,0.13419,3.254,2.2183,11.272,26.529,1.45E-05,17.978,24.978,29.731,1.05E-06,18.57,-1.0619,0.017805,45,Stable
29.978,48.756,2.6826,2.1459,81.909,0.48425,0.12438,1.0436,1.2277,0.43652,0.15958,1.4227,1.6398,0.36206,0.078119,16.13,2.9344,14.812,25.791,1.98E-05,16.476,23.364,37.668,6.73E-07,19.682,-1.0117,0.080654,33,Stable
29.862,48.81,5.2152,3.3257,81.841,0.48035,0.1383,0.22845,1.9014,0.28,0.093042,1.6575,1.1933,0.44206,0.18619,6.6609,1.9588,10.33,23.151,2.18E-05,16.584,22.885,36.202,2.38E-06,19.327,-0.74321,0.065803,34,Failure
29.05,48.059,3.0404,4.3475,91.265,0.42475,0.1764,1.8487,1.0352,0.43424,0.048266,3.8678,1.9511,0.55647,0.18016,2.2417,1.7084,10.98,23.477,1.51E-05,17.413,24.413,39.177,2.24E-06,19.647,-0.77219,0.012779,23,Stable
27.515,48.749,3.9012,4.5016,78.795,0.41705,0.16404,2.1002,1.7135,0.46895,0.24019,0.30024,1.1185,0.40715,0.1409,3.9221,1.4915,8.4501,26.945,1.14E-05,16.59,25.076,37.822,2.03E-06,19.108,-1.4269,0.12841,22,Stable
27.075,48.205,3.9858,2.5289,80.228,0.41402,0.091219,3.1116,1.1248,0.42149,0.08821,11.589,1.7249,0.37609,0.21781,2.1106,1.659,3.8551,27.88,3.13E-05,17.951,27.723,30.205,1.24E-06,19.988,-1.3768,0.0643,33,Failure
27.806,48.767,4.1719,5.4733,69.182,0.27429,0.17375,5.1691,1.7573,0.49181,0.11423,5.0879,1.7419,0.37427,0.096629,4.7166,1.5084,12.477,24.69,1.82E-05,17.186,24.287,35.056,6.64E-07,18.838,-0.78618,0.061245,10,Stable
29.94,48.994,2.7659,3.1113,64.442,0.41666,0.17654,0.8902,1.8282,0.49782,0.082891,15.34,4.1721,0.45028,0.16262,3.3196,1.1955,12.078,25.126,2.70E-05,17.304,25.226,34.75,1.38E-06,19.343,-0.74786,0.035595,65,Stable
28.715,48.741,4.2307,3.6848,71.329,0.41567,0.22629,21.154,1.1302,0.45733,0.16626,4.1107,1.3326,0.34586,0.12205,1.5613,1.6976,7.4439,26.01,1.47E-05,17.471,28.661,34.413,1.37E-06,19.107,-0.51364,0.11821,52,Failure
28.835,48.751,2.9993,4.1939,77.081,0.32769,0.13958,22.526,1.7743,0.49046,0.21712,1.6613,1.2091,0.28886,0.12973,3.8422,1.2184,3.1539,24.399,9.34E-06,16.882,21.607,35.264,1.45E-06,19.322,-1.4314,0.097579,57,Failure
29.078,48.99,2.0294,2.5346,84.999,0.49408,0.10441,5.9941,1.3568,0.30065,0.13906,4.3363,2.1572,0.47559,0.098749,1.2349,1.3665,10.638,26.425,1.40E-05,17.961,27.38,32.914,1.33E-06,19.739,-1.0267,0.1852,66,Stable
27.613,48.44,2.5633,4.0122,80.115,0.49543,0.093164,1.9109,1.9309,0.46949,0.11729,2.0007,1.3192,0.35893,0.10988,5.3293,3.644,6.5662,26.467,2.37E-05,16.305,25.757,32.036,2.58E-06,19.218,-1.2311,0.16932,58,Stable
27.189,48.704,2.152,5.0724,87.903,0.43344,0.17135,4.5849,2.0369,0.42534,0.18435,2.2028,1.0215,0.20471,0.11594,3.056,1.2508,8.7999,23.443,8.89E-06,17.376,24.787,41.886,1.32E-06,18.004,-0.99145,0.083086,43,Stable
29.064,48.064,3.0889,5.7119,69.29,0.49337,0.15958,1.1368,2.9199,0.3507,0.25923,1.8622,1.4887,0.53282,0.097648,19.523,1.2727,12.253,24.018,1.11E-05,16.251,22.127,33.285,2.03E-06,19.255,-1.4826,0.04723,24,Stable
27.89,48.186,4.5796,3.5391,71.366,0.49238,0.087656,2.1346,2.686,0.46418,0.11051,11.165,1.4861,0.42959,0.1155,2.9166,2.4065,8.7233,24.056,1.17E-05,17.05,24.881,35.079,2.19E-06,19.964,-1.4823,0.11854,68,Stable
28.715,48.006,2.6847,2.0919,81.977,0.41516,0.081508,4.9308,2.4721,0.25497,0.087326,0.27686,1.8494,0.4254,0.094605,3.8915,1.8617,11.318,23.572,2.88E-05,16.673,23.417,33.384,1.28E-06,19.623,-1.3826,0.076333,0,Stable
27.949,48.865,3.0931,4.5064,60.332,0.41533,0.111,7.083,1.1524,0.1998,0.12457,2.1546,1.2065,0.37781,0.16213,9.8275,1.3623,6.9654,24.114,7.31E-06,16.707,25.486,30.947,2.97E-06,18.958,-1.2043,0.034834,32,Stable
29.428,48.56,2.1054,4.5026,89.077,0.30931,0.13827,8.4959,1.7563,0.54874,0.1528,2.1373,2.4672,0.4359,0.11959,0.65263,1.7749,7.179,25.868,1.25E-05,17.986,24.577,36.134,1.09E-06,19.509,-1.4794,0.095906,46,Stable
28.096,48.089,5.5994,5.7422,70.772,0.35287,0.12019,0.7828,1.0704,0.29797,0.10842,2.3935,1.7252,0.42273,0.20906,5.2597,1.1927,0.11909,21.499,1.04E-05,17.149,27.58,31.519,1.15E-06,19.63,-0.65246,0.15328,59,Failure
29.096,48.424,2.2894,2.2876,83.808,0.51932,0.10255,0.91771,1.2176,0.4402,0.17613,0.18737,1.5515,0.40692,0.13716,8.6026,1.6114,7.8915,25.392,1.76E-05,17.258,24.717,34.053,1.08E-06,18.254,-1.245,0.16905,62,Stable
28.9,48.051,2.357,3.6588,78.942,0.36108,0.13867,2.7878,1.5575,0.38916,0.087084,4.9696,1.7095,0.40702,0.19779,9.7178,1.4679,0.91727,26.353,1.16E-05,16.832,24.385,35.99,1.50E-06,19.839,-0.93285,0.18296,32,Failure
27.602,48.144,2.6445,2.5756,79.318,0.2692,0.13936,2.9774,1.5966,0.38764,0.13807,1.2152,1.6461,0.3723,0.12434,5.7512,1.4807,5.9814,25.83,1.38E-05,16.592,22.98,32.723,1.76E-06,18.576,-1.3239,0.14318,57,Stable
28.795,48.461,2.8302,3.7406,67.004,0.5142,0.13285,1.9773,1.6541,0.40153,0.15677,9.3264,1.8656,0.47638,0.16446,0.48516,1.8627,17.551,23.539,1.18E-05,17.853,26.271,31.097,9.93E-07,19.084,-1.2805,0.080646,28,Stable
27.251,48.801,4.3744,2.9371,69.708,0.43008,0.14803,2.8331,1.6527,0.45127,0.13538,3.4658,1.3426,0.40245,0.092364,1.8721,1.1034,6.3409,24.184,2.27E-05,17.237,20.645,37.613,2.64E-06,19.385,-0.50239,0.021974,54,Failure
29.538,48.384,4.7427,5.4141,66.365,0.4379,0.13159,7.1051,2.1962,0.30726,0.2003,7.1579,1.7847,0.49613,0.13974,4.4128,1.0468,5.9634,23.821,1.23E-05,16.394,24.305,37.474,2.35E-06,19.772,-0.51667,0.042982,35,Failure
27.988,48.434,2.4496,3.8469,72.297,0.37514,0.22526,2.7815,1.3553,0.49225,0.14777,7.118,2.442,0.43545,0.11671,3.3224,2.3398,5.6386,24.132,2.08E-05,17.92,23.717,32.292,1.39E-06,19.687,-0.64181,0.1253,61,Stable
29.128,48.991,5.7165,3.0638,72.679,0.35692,0.12635,2.3294,2.0568,0.45495,0.14201,1.2206,3.0629,0.51537,0.097912,3.7694,1.3487,9.6541,25.107,1.28E-05,17.593,23.224,32.696,1.93E-06,19.222,-1.1634,0.11314,52,Failure
29.581,48.363,4.2993,5.6405,67.182,0.32424,0.21629,3.6481,1.071,0.38048,0.094485,2.4285,1.0728,0.25488,0.10753,0.25745,1.0692,7.7754,24.894,2.55E-05,16.486,24.287,34.339,1.25E-06,18.983,-1.4435,0.1515,24,Failure
